Date,LLOY_Open,LLOY_High,LLOY_Low,LLOY_Close,LLOY_Change,LLOY_Percent,LSE_Price,LSE_Open,LSE_High,LSE_Low,LSE_Change,LSE_Percent,2 MYYC,10 MYYC,2s10s
9-Jan-20,63.450001,63.5,61.745998,61.849998,0.0259,2.5869,7766.00,7590.00,7778.00,7578.50,0.0297,2.9700,0.56,0.77,0.2037
10-Jan-20,61.5,61.759998,60.09,60.330002,0.0194,1.9393,7652.00,7780.00,7834.00,7650.00,-0.0147,-1.4700,0.58,0.79,0.2123
13-Jan-20,59.75,61.75,58.645,58.740002,0.0172,1.7194,7566.00,7700.00,7700.00,7550.00,-0.0112,-1.1200,0.58,0.80,0.2175
14-Jan-20,58.75,59.006001,58.279999,58.75,0.0000,0.0000,7546.00,7564.00,7626.00,7500.00,-0.0026,-0.2600,0.57,0.83,0.2566
15-Jan-20,58.869999,58.91,57.689999,57.810001,0.0183,1.8336,7646.00,7560.00,7646.00,7518.00,0.0133,1.3300,0.52,0.79,0.2698
16-Jan-20,57.959999,58.181999,57.240002,57.900002,0.0010,0.1036,7646.00,7716.00,7750.00,7583.20,0.0000,0.0000,0.47,0.77,0.2961
17-Jan-20,58.310001,58.73,57.889999,58.450001,-0.0024,-0.2395,7640.00,7694.00,7706.00,7580.00,-0.0008,-0.0800,0.47,0.73,0.2612
20-Jan-20,58.709999,58.709999,57.761002,57.900002,0.0140,1.3990,7624.00,7628.00,7746.00,7602.00,-0.0021,-0.2100,0.42,0.66,0.2366
21-Jan-20,57.52,58.639999,57.23,58.5,-0.0168,-1.6752,7708.00,7600.00,7708.00,7566.00,0.0110,1.1000,0.42,0.65,0.2295
22-Jan-20,58.380001,58.560001,57.84,58.09,0.0050,0.4992,7986.00,7716.00,7986.00,7712.00,0.0361,3.6100,0.40,0.65,0.2445
23-Jan-20,57.959999,58.849998,57.400002,57.400002,0.0098,0.9756,7918.00,7990.00,7990.00,7884.00,-0.0085,-0.8500,0.41,0.66,0.2515
24-Jan-20,58.099998,59.259998,57.849998,58.09,0.0002,0.0172,7950.00,7998.00,8150.00,7950.00,0.0040,0.4000,0.41,0.64,0.2312
27-Jan-20,57.200001,57.790001,56.73,57.110001,0.0016,0.1576,7768.00,7900.00,7946.00,7768.00,-0.0229,-2.2900,0.42,0.64,0.2169
28-Jan-20,57.5,58.240002,56.820999,57.639999,-0.0024,-0.2429,7732.00,7802.00,7852.00,7684.00,-0.0046,-0.4600,0.40,0.59,0.1979
29-Jan-20,57.959999,58.445999,57.43,57.5,0.0080,0.8000,7790.00,7780.00,7802.00,7710.00,0.0075,0.7500,0.40,0.57,0.1745
30-Jan-20,57,58.264999,57,57.93,-0.0161,-1.6054,7824.00,7736.00,7854.00,7720.00,0.0044,0.4400,0.37,0.51,0.1458
31-Jan-20,58.48,58.48,56.349998,56.790001,0.0298,2.9759,7836.00,7850.00,7960.00,7796.00,0.0015,0.1500,0.41,0.55,0.1425
3-Feb-20,56.98,57.200001,56.189999,56.549999,0.0076,0.7604,7924.00,7842.00,7996.00,7820.00,0.0112,1.1200,0.41,0.53,0.1227
4-Feb-20,57.32,57.59,56.830002,57.5,-0.0031,-0.3130,8028.00,7980.00,8080.00,7950.00,0.0131,1.3100,0.47,0.55,0.0811
5-Feb-20,57.66,58.327999,57.139999,57.139999,0.0091,0.9100,8136.00,7974.00,8162.00,7974.00,0.0135,1.3500,0.46,0.53,0.0683
6-Feb-20,57.650002,58.27,56.845001,56.950001,0.0123,1.2292,8166.00,8162.00,8180.00,8070.00,0.0037,0.3700,0.45,0.54,0.0920
7-Feb-20,56.82,57.080002,56.200001,56.919998,-0.0018,-0.1757,8196.00,8198.00,8254.00,8154.00,0.0037,0.3700,0.45,0.57,0.1169
10-Feb-20,56.66,57.16,56.48,56.880001,-0.0039,-0.3868,8166.00,8248.00,8248.00,8106.00,-0.0037,-0.3700,0.46,0.61,0.1467
11-Feb-20,57.5,57.5,56.349998,56.73,0.0136,1.3573,8198.00,8218.00,8226.00,8154.00,0.0039,0.3900,0.46,0.60,0.1409
12-Feb-20,56.759998,57.639999,56.205002,57.439999,-0.0118,-1.1838,8272.00,8242.00,8272.00,8132.00,0.0090,0.9000,0.46,0.58,0.1216
13-Feb-20,57.439999,58.150002,56.200001,58.029999,-0.0102,-1.0167,8226.00,8280.00,8280.00,8128.00,-0.0056,-0.5600,0.45,0.57,0.1182
14-Feb-20,58.130001,58.200001,56.549999,56.610001,0.0269,2.6850,8220.00,8190.00,8226.00,8148.00,-0.0007,-0.0700,0.47,0.58,0.1054
17-Feb-20,56.669998,57.209999,56.529999,56.869999,-0.0035,-0.3517,8300.00,8272.00,8322.00,8194.00,0.0097,0.9700,0.51,0.62,0.1101
18-Feb-20,56.200001,56.990002,55.880001,55.880001,0.0057,0.5727,8350.00,8234.00,8382.00,8172.00,0.0060,0.6000,0.52,0.65,0.1274
19-Feb-20,56.200001,56.400002,55.630001,55.779999,0.0075,0.7530,8542.00,8390.00,8566.00,8336.00,0.0230,2.3000,0.51,0.63,0.1248
20-Feb-20,55.990002,58.130001,55.91,56.549999,-0.0099,-0.9903,8416.00,8582.00,8628.00,8416.00,-0.0148,-1.4800,0.52,0.65,0.1318
21-Feb-20,55.68,56.060001,55.169998,55.349998,0.0060,0.5962,8422.00,8416.00,8538.00,8380.00,0.0007,0.0700,0.50,0.63,0.1274
24-Feb-20,53.880001,54.380001,52.299999,53.110001,0.0145,1.4498,8300.00,8380.00,8384.00,8156.00,-0.0145,-1.4500,0.49,0.62,0.1218
25-Feb-20,53.52,53.848,51.98,52.009998,0.0290,2.9033,8072.00,8344.00,8421.00,8058.00,-0.0275,-2.7500,0.48,0.59,0.1069
26-Feb-20,52.099998,52.32,51.02,51.91,0.0037,0.3660,8076.00,7908.00,8076.00,7576.00,0.0005,0.0500,0.47,0.57,0.0941
27-Feb-20,51.169998,51.290001,49.580002,50.349998,0.0163,1.6286,7810.00,7966.00,8068.00,7736.00,-0.0329,-3.2900,0.44,0.54,0.0952
28-Feb-20,48.794998,50.5,47.881001,50.200001,-0.0280,-2.7988,7576.00,7730.00,7778.00,7420.00,-0.0300,-3.0000,0.41,0.50,0.0917
2-Mar-20,51.490002,52.069,48.632999,49.540001,0.0394,3.9362,7888.00,7824.00,7954.00,7658.00,0.0412,4.1200,0.40,0.50,0.1000
3-Mar-20,50.509998,50.799999,48.544998,48.674999,0.0377,3.7699,7864.00,7910.00,8090.00,7864.00,-0.0030,-0.3000,0.36,0.46,0.1022
4-Mar-20,48.005001,49.146,47.68,48.365002,-0.0074,-0.7443,7994.00,7910.00,7994.00,7808.00,0.0165,1.6500,0.34,0.43,0.0978
5-Mar-20,48.365002,48.556999,46.205002,47,0.0290,2.9043,8030.00,8094.00,8120.00,7862.00,0.0045,0.4500,0.29,0.41,0.1138
6-Mar-20,45.459999,46.66,44.846001,45.68,-0.0048,-0.4816,7592.00,7884.00,7938.00,7536.00,-0.0545,-5.4500,0.25,0.39,0.1389
9-Mar-20,40.75,44.014,39.367001,41.235001,-0.0118,-1.1762,7246.00,7402.00,7414.00,7064.00,-0.0456,-4.5600,0.21,0.37,0.1554
